App Name,Total Score,Installs,Review Matches TR,Review Matches EN,Desc Matches,Package Name,,Score,URL
ACFT Fitness,10,1000,,ACFT,ACFT,com.militarygradeapps.acftfitness,,0,https://play.google.com/store/apps/details?id=com.bushnell.ballistics.ab&hl=tr&gl=tr
ACFT Score Calculator,3,1000,,,ACFT,org.name.ACFTScoreCalculator,,,https://play.google.com/store/apps/details?id=com.armynoncomtools.acft_calculator&hl=tr&gl=tr
AFT,30,10000,,"ACFT, PT test",ACFT,org.acftcalculator.acft,,,https://play.google.com/store/apps/details?id=com.pangu.devgpl&hl=tr&gl=tr
AFT Calculator,5,10000,,,"kondisyon testi, PT test, birlik",com.reaperdevs.aftcalc,,,https://play.google.com/store/apps/details?id=com.slacorp.eptt.android&hl=tr&gl=tr
Airwave - Push To Talk,6,1000,,mission,,com.wavelengthlabs.airwave,,,https://play.google.com/store/apps/details?id=org.acftcalculator.acft&hl=tr&gl=tr
APFT Calculator,3,500,,,PFT,com.zxmsoft.pft_calculator,,,https://play.google.com/store/apps/details?id=com.tortel.deploytrack&hl=tr&gl=tr
Applied Ballistics Quantum,39,50000,Ballistics,"Dope Card, strelok, Ballistics, mission",Ballistics,com.appliedballisticsllc.appliedballistics,,0,https://play.google.com/store/apps/details?id=com.app.phoneticalphabet&hl=tr&gl=tr
ARKEN Ballistics,42,10000,,"strelok, Ballistics, MOA",,com.pangu.devgpl,,,https://play.google.com/store/apps/details?id=com.hauvv.utmconverter&hl=tr&gl=tr
Army ACFT Calc,5,500,,,ACFT,com.davesprojects.acftcalc,,,https://play.google.com/store/apps/details?id=com.vemdigital.eliteacft&hl=tr&gl=tr
Army Fitness,5,500,,,army fitness,com.arboxapp.armyfitness,,,https://play.google.com/store/apps/details?id=com.verizon.pushtotalkplus&hl=tr&gl=tr
Army Fitness App,14,1000,,PT test,"PFT, ACFT",com.rrivenllc.armyfitnessapp,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.vx.plugin&hl=tr&gl=tr
Army Fitness App,17,1000,,PT test,"ACFT, PFT",com.rrivenllc.armyfitnessapp,,4.48,https://play.google.com/store/apps/details?id=cz.seznam.mapy&hl=tr&gl=tr
Army Fitness Calculator,51,10000,,"ACFT, army fitness","PFT, ACFT, army fitness",com.armynoncomtools.acft_calculator,,0,https://play.google.com/store/apps/details?id=com.none.tom.exiferaser&hl=tr&gl=tr
Army Fitness Calculator,62,10000,,"ACFT, army fitness","ACFT, PFT",com.armynoncomtools.acft_calculator,,0,https://play.google.com/store/apps/details?id=onxmaps.hunt&hl=tr&gl=tr
Askeri Personel,6,1000,,,askeri personel,com.askeripersonel.app1,,3.625,https://play.google.com/store/apps/details?id=com.imptt.proptt&hl=tr&gl=tr
Aspirus MedEvac EMS Protocols,4,100,,,MEDEVAC,com.acidremap.PPPAspirusMedEvacEMSProtocols,,3.8,https://play.google.com/store/apps/details?id=com.sigsauer.bdx&hl=tr&gl=tr
ATAK Plugin: ATOS,11,1000,,,atak,com.atakmap.android.atos.plugin,,,https://play.google.com/store/apps/details?id=com.tract.tractoptics&hl=tr&gl=tr
ATAK Plugin: Compass Nav,7,10000,,,atak,com.atakmap.android.compassnav.plugin,,4.9411764,https://play.google.com/store/apps/details?id=com.apps.utmfinder&hl=tr&gl=tr
ATAK Plugin: Data Sync,8,10000,,,"atak, tatbikat",com.atakmap.android.datasync.plugin,,,https://play.google.com/store/apps/details?id=com.gravityballistics.app&hl=tr&gl=tr
ATAK Plugin: Fire Area Survey,7,5000,,,atak,com.atakmap.android.firesurvey.plugin,,4.29,https://play.google.com/store/apps/details?id=com.virtualmaze.offlinemapnavigationtracker&hl=tr&gl=tr
ATAK Plugin: Hammer,44,10000,,atak,atak,com.atakmap.android.cot_utility.plugin,,,https://play.google.com/store/apps/details?id=com.appworkout.fitbutler.waypoint&hl=tr&gl=tr
ATAK Plugin: PDF,11,5000,,,atak,com.atakmap.android.gbr.pdf.plugin,,0,https://play.google.com/store/apps/details?id=com.ballisticx.ballisticxapp&hl=tr&gl=tr
ATAK Plugin: TAK Chat,6,10000,,,atak,com.atakmap.android.takchat.plugin,,,https://play.google.com/store/apps/details?id=com.rrivenllc.armyfitnessapp&hl=tr&gl=tr
ATAK Plugin: TAKSat,8,5000,,,atak,com.atakmap.android.gbr.taksatplanner.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.atos.plugin&hl=tr&gl=tr
ATAK Plugin: UAS Tool,6,10000,,,atak,com.atakmap.android.uastool.plugin,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.pdf.plugin&hl=tr&gl=tr
ATAK Plugin: VNS,7,10000,,,atak,com.atakmap.android.vns.plugin,,0,https://play.google.com/store/apps/details?id=com.promobitech.oneteam&hl=tr&gl=tr
ATAK Plugin: Vx,22,10000,,atak,atak,com.atakmap.android.gbr.vx.plugin,,,https://play.google.com/store/apps/details?id=com.get.gsappalpha1&hl=tr&gl=tr
ATAKGo,27,5000,,"atak, mission","atak, birlik",com.atakmap.android.atakgo.dji,,5,https://play.google.com/store/apps/details?id=com.vincero.workout&hl=tr&gl=tr
Athlon Ballistic,4,10000,,Bullet Drop,,com.guide.ballistics.at,,3.8900635,https://play.google.com/store/apps/details?id=com.oyak.mobil&hl=tr&gl=tr
Ballistic X,14,10000,,"MOA, mission","birlik, MOA",com.ballisticx.ballisticxapp,,,https://play.google.com/store/apps/details?id=com.atakmap.android.gbr.taksatplanner.plugin&hl=tr&gl=tr
Ballistics Buddy,3,100000,,,,app.BallisticsBuddy,,0,https://play.google.com/store/apps/details?id=com.atakmap.android.datasync.plugin&hl=tr&gl=tr
Ballistics Calculator 2026,75,100000,,"Ballistics, strelok, MOA, in the field, Bullet Drop",MOA,com.ballistic.calculator.strelok,,3.5,https://play.google.com/store/apps/details?id=pro.shineapp.shiftschedule&hl=tr&gl=tr
BiPTT - push to talk PTT,6,100000,,Push to Talk,,com.biptt,,,https://play.google.com/store/apps/details?id=com.atakmap.android.vns.plugin&hl=tr&gl=tr
Bushnell Ballistics,60,50000,Rangefinder,"Ballistics, MOA, mission, strelok, Rangefinder, zeroing","birlik, Ballistics",com.bushnell.ballistics.ab,,,https://play.google.com/store/apps/details?id=com.atakmap.android.compassnav.plugin&hl=tr&gl=tr
Buzz: Push To Talk (PTT),2,50000,,,,com.tellotechnologies.buzz,,,https://play.google.com/store/apps/details?id=com.atakmap.android.firesurvey.plugin&hl=tr&gl=tr
Chairgun Elite Ballistic Tool,59,50000,UTM,"Ballistics, strelok, zeroing","strelok, MOA",com.jetlab.chairgunelite,,3.5714285,https://play.google.com/store/apps/details?id=com.bookoo.mantis.lasertrainer&hl=tr&gl=tr
Coordinator-Collect Coordinate,98,500000,"birlik, KOORDINAT",,"UTM, KOORDINAT, ISR, MGRS",com.suleymaner.coordinatorplus,,,https://play.google.com/store/apps/details?id=com.waypoint.waypoint&hl=tr&gl=tr
Deployment Tracker,30,10000,,"OPSEC, deployment, Deployment Countdown",,com.tortel.deploytrack,,4.9166665,https://play.google.com/store/apps/details?id=com.askeripersonel.app1&hl=tr&gl=tr
ESChat (Push-to-Talk),32,100000,,"Push to Talk, mission, OPSEC",,com.slacorp.eptt.android,,0,https://play.google.com/store/apps/details?id=com.airgunballistics&hl=tr&gl=tr
Exif Eraser,20,50000,,mission,,com.none.tom.exiferaser,,,https://play.google.com/store/apps/details?id=com.wavelengthlabs.airwave&hl=tr&gl=tr
EXIF Remover+,4,50,,,EXIF Remover,com.gkminteractive.utilities.exif_remover.exif_remover,,,https://play.google.com/store/apps/details?id=com.biptt&hl=tr&gl=tr
G-Sight Laser Training Pro - A,10,50000,,mission,"birlik, combat",com.get.gsappalpha1,,,https://play.google.com/store/apps/details?id=com.atakmap.android.takchat.plugin&hl=tr&gl=tr
GPS Waypoints,35,500000,,"UTM, mission, WAYPOINT","WAYPOINT, KOORDINAT",pt.bluecover.gpsegnos,,,https://play.google.com/store/apps/details?id=com.atakmap.android.uastool.plugin&hl=tr&gl=tr
GPS Waypoints Navigator | MAPS,40,50000,KOORDINAT,WAYPOINT,"UTM, KOORDINAT, MGRS",com.discipleskies.android.gpswaypointsnavigator,,0,https://play.google.com/store/apps/details?id=appinventor.ai_keating_marine.RangeFinder&hl=tr&gl=tr
Gymt - Fitness Workout Tracker,9,5000,"UTM, birlik",,UTM,com.vincero.workout,,,https://play.google.com/store/apps/details?id=com.arboxapp.armyfitness&hl=tr&gl=tr
Hornady,12,500000,,Ballistics,,com.agilx.hornady,,,https://play.google.com/store/apps/details?id=com.reaperdevs.aftcalc&hl=tr&gl=tr
Impact Ballistics,17,1000,,"Dope Card, Ballistics, strelok","Ballistics, MOA",com.tract.tractoptics,,4,https://play.google.com/store/apps/details?id=net.xnano.android.photoexifeditor.pro&hl=tr&gl=tr
Kestrel LiNKÂ® Ballistics,43,50000,,"Dope Card, Ballistics",Ballistics,com.nkhome.link.ballistics,,,https://play.google.com/store/apps/details?id=com.acidremap.PPPAspirusMedEvacEMSProtocols&hl=tr&gl=tr
Lapua Ballistics,31,100000,,"strelok, MOA",birlik,com.Lapua.LapuaBallistics,,,https://play.google.com/store/apps/details?id=com.guide.ballistics.target&hl=tr&gl=tr
Leica Ballistics,27,10000,,"Ballistics, in the field, Rangefinder",Ballistics,com.leicacamera.leicaballistics.ab,,,https://play.google.com/store/apps/details?id=com.patricksmith.USAF_PT_Calculator&hl=tr&gl=tr
Mantis Laser Academy,7,100000,,,tatbikat,com.bookoo.mantis.lasertrainer,,,https://play.google.com/store/apps/details?id=theappmatch.fittest&hl=tr&gl=tr
Mgrs & Utm Harita,12,1000000,,mission,askeri personel,com.zahidcataltas.mgrsharita,,,https://play.google.com/store/apps/details?id=com.gkminteractive.utilities.exif_remover.exif_remover&hl=tr&gl=tr
Mgrs & Utm Map,60,1000000,"askeri personel, UTM, KOORDINAT, operasyon","UTM, mission, OFFLINE MAP, MGRS","askeri personel, UTM, KOORDINAT, MGRS",com.zahidcataltas.mgrsharita,,,https://play.google.com/store/apps/details?id=com.sandboxx.waypoints&hl=tr&gl=tr
Mgrs & Utm Map Pro,52,10000,"askeri personel, KOORDINAT, MGRS","OFFLINE MAP, MGRS","askeri personel, UTM, KOORDINAT, MGRS",com.zahidcataltas.mgrsutmmappro,,,https://play.google.com/store/apps/details?id=com.fitnessmobileapps.platoonfitness&hl=tr&gl=tr
MGRS Live Map and Mil. Compass,3,10000,,,,com.ekik.mgrs.android,,,https://play.google.com/store/apps/details?id=org.name.ACFTScoreCalculator&hl=tr&gl=tr
MGRS UTM GPS,26,100000,,"UTM, Surveillance, MGRS","UTM, KOORDINAT, birlik, MGRS",info.yogantara.yytestgps,,,https://play.google.com/store/apps/details?id=com.zxmsoft.pft_calculator&hl=tr&gl=tr
MGRS Wear,3,10000,,,,com.jamesjmtaylor.mgrswear,,0,https://play.google.com/store/apps/details?id=com.fitivity.seals_ranger_combat&hl=tr&gl=tr
Military Quiz,4,50000,,mission,,com.wave.wtquiz,,,https://play.google.com/store/apps/details?id=com.appfrancois.PhoneticAlphabet&hl=tr&gl=tr
My Ballistics,3,10000,,,,my.ballistics,,,https://play.google.com/store/apps/details?id=ua.rv.sashko.speaknato&hl=tr&gl=tr
My Virtual Mission,47,100000,fitness,mission,mission,com.myvirtualmission.android,,,https://play.google.com/store/apps/details?id=com.tellotechnologies.buzz&hl=tr&gl=tr
NATO Phonetic Alphabet,2,10000,,,,com.appfrancois.PhoneticAlphabet,,,https://play.google.com/store/apps/details?id=com.yatn.commando_fitness&hl=tr&gl=tr
Nato Phonetic Alphabet,26,10000,,Phonetic Alphabet,,com.app.phoneticalphabet,,,https://play.google.com/store/apps/details?id=eu.fitric.army&hl=tr&gl=tr
NuovoTeam - Push to Talk (PTT),10,10000,,Push to Talk,,com.promobitech.oneteam,,,https://play.google.com/store/apps/details?id=com.armynoncomtools.acft_calculator&hl=tr&gl=tr
Offline Map Navigation,15,5000000,"UTM, OFFLINE MAP",,OFFLINE MAP,com.virtualmaze.offlinemapnavigationtracker,,,https://play.google.com/store/apps/details?id=com.rrivenllc.armyfitnessapp&hl=tr&gl=tr
onX Hunt: Offline Hunting Maps,20,5000000,,"WAYPOINT, in the field",,onxmaps.hunt,,4.2608695,https://play.google.com/store/apps/details?id=com.ballistic.calculator.strelok&hl=tr&gl=tr
Orion Push to Talk,13,10000,,mission,operasyon,com.onbeep.obiwan,,,https://play.google.com/store/apps/details?id=com.onbeep.obiwan&hl=tr&gl=tr
OYAK Mobil,8,500000,askeri personel,,,com.oyak.mobil,,4.7981653,https://play.google.com/store/apps/details?id=com.zahidcataltas.mgrsharita&hl=tr&gl=tr
Peak PTT Push To Talk App,3,1000,,,,com.corget.peak,,,https://play.google.com/store/apps/details?id=com.elbit.italk&hl=tr&gl=tr
Photo Exif Editor Pro - Metada,4,10000,,mission,,net.xnano.android.photoexifeditor.pro,,4.2,https://play.google.com/store/apps/details?id=com.appliedballisticsllc.appliedballistics&hl=tr&gl=tr
ProPTT2 Video Push-To-Talk,19,100000,,mission,birlik,com.imptt.proptt,,0,https://play.google.com/store/apps/details?id=network.talker.app&hl=tr&gl=tr
SIG BDX,18,50000,,"strelok, MOA, Rangefinder, zeroing","MOA, Rangefinder",com.sigsauer.bdx,,,https://play.google.com/store/apps/details?id=com.utmvirtual&hl=tr&gl=tr
Speak NATO: phonetic alphabets,2,5000,,,,ua.rv.sashko.speaknato,,4.29,https://play.google.com/store/apps/details?id=com.virtualmaze.offlinemapnavigationtracker&hl=tr&gl=tr
Synch Push To Talk (PTT),9,10000,,mission,operasyon,com.elbit.italk,,,https://play.google.com/store/apps/details?id=com.hauvv.utmconverter&hl=tr&gl=tr
Tactical NAV,102,10000,,"WAYPOINT, mission, OFFLINE MAP, in the field, UTM, tactical, combat, atak","UTM, KOORDINAT, tactical, atak, MGRS",com.tacnav.android,,,https://play.google.com/store/apps/details?id=app.scb.ballistic_calculator&hl=tr&gl=tr
Talker PTT Walkie Talkie,6,10000,,mission,operasyon,network.talker.app,,0,https://play.google.com/store/apps/details?id=com.ekik.mgrs.android&hl=tr&gl=tr
TargetIR Ballistics,4,1000,,,birlik,com.guide.ballistics.target,,0,https://play.google.com/store/apps/details?id=org.project.myposition&hl=tr&gl=tr
TR TALK - Push To Talk,3,10000,,,,com.trtalk,,4.09,https://play.google.com/store/apps/details?id=info.yogantara.utmgeomap&hl=tr&gl=tr
USAF PFA & USSF HPA Calculator,4,10000,,PT test,,com.patricksmith.USAF_PT_Calculator,,,https://play.google.com/store/apps/details?id=io.gonative.android.qlokpo&hl=tr&gl=tr
UTM - Lat/Long Conversor,3,50000,,,,io.gonative.android.qlokpo,,,https://play.google.com/store/apps/details?id=com.jamesjmtaylor.mgrswear&hl=tr&gl=tr
UTM Converter,25,50000,,UTM,"UTM, KOORDINAT",com.hauvv.utmconverter,,3.6875,https://play.google.com/store/apps/details?id=com.Lapua.LapuaBallistics&hl=tr&gl=tr
UTM MGRS Map,16,10000,MGRS,UTM,"operasyon, UTM, KOORDINAT, MGRS",com.apps.utmfinder,,4,https://play.google.com/store/apps/details?id=com.microballistics.elementballistics&hl=tr&gl=tr
Verizon Push to Talk Plus,23,500000,,"Push to Talk, mission",Push to Talk,com.verizon.pushtotalkplus,,,https://play.google.com/store/apps/details?id=my.ballistics&hl=tr&gl=tr
Walkie Talkie - Slide2Talk,8,500000,UTM,Push to Talk,,com.slide2talk.android.app,,,https://play.google.com/store/apps/details?id=com.tract.tractoptics&hl=tr&gl=tr
